Station,Latitude,Longitude
100 Manufacturers Rd,35.06301400,-85.31046900
200 River St,35.06141000,-85.30657400
301 Manufacturers Rd,35.06330400,-85.31521100
215 Broad St,35.05392800,-85.31092500
Market St & E 14th St,35.03690400,-85.30726900
Market and E 4th,35.05270100,-85.30948300
Market St & W 12th St,35.04277400,-85.30933100
Market St & Cowart St,35.04077100,-85.30839400
100 Riverfront Parkway,35.05665500,-85.31048700
Carter St & W 12th St,35.04336700,-85.31276200
Broad St & W 6th St,35.04942900,-85.31039900
100 Walnut St,35.05568700,-85.30781300
High St & E 2nd St,35.05416100,-85.30544800
Power Alley & Riverfront Pkwy,35.05558200,-85.31279700
928 Market Street,35.04489500,-85.30929900
M.L. King Blvd & Lindsay St,35.04497300,-85.30701500
McCallie Ave & Lindsay St,35.04731900,-85.30583400
400 East Main Street,35.03420000,-85.30245800
800 E 8th St,35.04363900,-85.29798800
Oak St & University Greenway,35.04505700,-85.29608700
Oak St & Houston St,35.04757400,-85.30273900
218 E Main St,35.03521700,-85.30518700
401 Broad St,35.05251000,-85.31087400
735 Broad St,35.04720500,-85.31067500
343 W Main St,35.03738100,-85.31041100
1216 Broad St,35.04054900,-85.30955400
1826 Carter St,35.03743300,-85.31509300
500 Georgia Ave,35.05077100,-85.30534600
Broad St & W 10th St,35.04445800,-85.31045800
Douglas St & Vine St,35.04828500,-85.30023700
4310 Amnicola Hwy,35.09600300,-85.25450300
495 Riverfront Pkwy,35.05380100,-85.32021000
Pine St. & W. 6th St.,35.04927100,-85.31261700
Blue Goose Hollow River Park Entrance,35.05040500,-85.32373900
Curtain Pole River Park Entrance,35.06541600,-85.27403100
526 E MLK Blvd,35.04323800,-85.30180400
Middle st,35.01962100,-85.32401800
801 Pine Street,35.04722200,-85.31308700
20 Cherokee Blvd,35.06314550,-85.30950940
415 N. Market St,35.06615500,-85.30909300
3917 St Elmo Avenue,35.00953610,-85.32854100
